AL_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CY_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics,TR_load_actual_entsoe_power_statistics,UK_UKM_load_actual_entsoe_power_statistics
1040,7564,1587.43,9112,4878.8,6323,505.61,7258,49147.52041,3653.3,948.4,23427,10940.14,65325,5959,1788,4412.63,3073.5,24582,1324,417.62,810,438.28,1136,13060,17128.47,14924.4898,4769,5498,5059,17134,1309,3181.46,28558.29,43011
1110,8221,1717.88,9195,5400.62,6674,541.57,7479,51808.19388,3985.7,965.2,22972,11118.26,65737,6254,1938,4717.12,3035.61,26255,1370,433.51,843,470.53,1209,13449,17480.42,16284.69388,4886,6203,5505,17896,1370,3369.91,29146.36,44013.5
1190,8590,1833.33,9722,5601.32,7152,631.87,7611,56033.40816,4323.7,967.1,23540,11161.49,70792,6846,2200,4878.61,3250.85,30543,1372,478.62,842,500.18,1260,14295,17625.58,16709.18367,5435,6420,5770,18144,1482,3430.36,30628.06,47224.13
1180,8628,1819.22,9913,5549.29,7217,646.2,7578,56680,4237.4,956.2,26259,11143.72,73789,6935,2234,4878.3,3545.54,32184,1358,491.34,833,508.68,1249,14305,17642.92,16846.93878,5979,6420,5785,18040,1497,3438.95,32342,48663.63
1160,8202,1805.08,9863,5395.01,7120,658.32,7519,55465.77551,4007.2,950,27668,10959.48,73860,6905,2265,4883.67,3494.99,33034,1320,485.54,821,510.44,1232,14061,17606,16957.14286,6146,6324,5834,17803,1491,3388.51,32254.23,47466
1130,7807,1774.97,9654,5239.1,6900,655.14,7454,53396.04082,3752.8,925.8,28683,10585.05,71997,6795,2257,4762.8,3350.8,32661,1258,473.15,791,507.81,1223,13701,17442.89,16719.38776,6208,6107,5734,17407,1488,3411.05,31780.44,45090
1050,7484,1709.13,9426,5250.18,6721,652.52,7171,52265.79592,3522.1,882,29180,10867.21,69283,6433,2290,4634.78,3220.57,31283,1170,454.51,736,498.52,1217,13134,17280.32,15993.87755,6064,5851,5677,16908,1429,3313.41,31277.52,43177
940,7516,1602.15,9647,5006.17,6689,626.8,6957,51970.20408,3293.7,840.8,28618,10770.38,72515,6191,2189,4404.42,3058.09,29127,1088,510.68,673,478.56,1225,12514,16883.14,15140.81633,5846,5535,5700,16327,1335,3173.1,30689.53,40224.75
800,7143,1475.67,9695,4656.75,7038,597.18,6671,49268.26531,3066.8,786.6,26357,10410.28,71234,5666,1957,4167.26,2903.45,26316,1015,499.1,615,449.12,1190,11770,16534.03,14074.4898,5282,5282,5667,15794,1222,3025.77,29308.57,37395.38
660,6845,1344.73,9232,4426.12,6867,534.55,6531,46733.5,2922.2,742.5,23755,10095.24,66704,5209,1851,3942.8,2919.38,23654,965,468.87,572,414.3,1109,11125,16091.07,13294.89796,4772,5114,5604,15346,1173,3002.86,27477.7,34031.13
560,6688,1246.92,8839,4287.27,7112,472.72,6616,44939.02041,2876.5,727.8,21649,9880.82,65627,5185,1825,3838,2721.37,21763,943,439,553,382.78,1008,10712,15843.61,12901.02041,4405,5028,5314,15213,1112,2915.33,25680.13,33390.63
520,6580,1202.36,8504,4225.28,7135,436.02,6613,44159.81633,2804.6,717.9,20422,9869.18,63510,4980,1759,3670.49,2515.92,20856,934,428.45,542,359.38,929,10492,15958.94,12775.5102,4175,4991,4989,15249,1101,2855.66,24372.11,32842.88
500,6536,1185.07,8267,4235.47,7067,416.94,6515,44140.05102,2807.6,723.1,19846,9928.2,61607,4819,1730,3612.14,2379.33,20422,943,427.45,552,344.19,881,10405,16011.01,12819.38776,4057,5004,4737,15374,1083,2858.97,23884,31612.38
500,6858,1186.49,8217,4290.38,7001,411.59,6683,45307.12245,2901.1,745.6,19749,10395.1,61921,4853,1753,3727.79,2302.53,20727,996,434.94,591,336.51,863,10517,16259.72,13093.87755,4093,5080,4626,15691,1111,2952,23902.65,30504.25
530,7669,1231.88,8447,4403.73,7021,418.4,7258,48281.56122,3199.4,836.5,20450,11238.96,64466,5151,1840,4100.09,2262.44,22420,1161,461.84,686,340.68,866,10985,16726.57,14237.7551,4208,5239,4588,16520,1150,3128.95,24357.62,29791.75
630,8539,1333.01,9014,4670.69,6544,436.69,8295,54253.60204,3790.8,962.9,22781,11721.16,69032,5610,1944,4759.01,2257.24,26540,1336,462.49,803,353.74,892,12137,17885.32,16996.93878,4543,5444,4698,18273,1234,3459.98,25779.68,30345.13
790,9394,1453.79,9335,5041.16,6307,496.74,8856,60515.26531,4512.5,1085.4,25922,12103.47,73017,6057,2151,5136.04,2365.3,30982,1477,522.17,900,376.24,890,13743,19457.67,19297.95918,4989,5645,4875,19986,1352,3636.09,28576.51,32808.38
990,9828,1626,9874,5361.22,6586,546.71,9182,64593.42857,4864.9,1129.6,28485,12077.99,75086,6605,2332,5343.5,2459.3,35221,1535,587.29,944,415.97,958,15112,20151.05,20313.26531,5758,5841,5201,20669,1455,3823.46,33537.13,34949.5
1100,10005,1733.69,10287,5413.8,6859,558.9,9557,66833.92857,4929.7,1156.5,30812,12017.64,76987,6916,2431,5555.12,2527.25,38226,1599,618.98,973,445.24,1033,15742,20312.24,21160.20408,6444,5916,5485,20903,1541,3960.56,37031.13,37842.25
1120,10053,1773.17,10533,5333.56,7012,578.92,9698,68598.14286,5013.8,1167.6,32838,12013.61,78283,7011,2438,5648.83,2732.73,39003,1613,622.68,982,460.45,1089,15952,20590.75,21397.95918,6814,5885,5586,21247,1570,3988.36,38510.27,40948.63
1100,10046,1758.8,10696,5188.99,6871,591.47,9759,70053.29592,4929.7,1166.2,33448,12045.37,79772,7069,2443,5726.31,3002.05,38763,1602,711.84,980,458.02,1106,15911,20428.29,21630.61224,7101,5816,5603,21182,1593,4033.84,38994.53,42359.75
1110,9816,1719.25,10665,5023.21,7095,593.68,10012,70361.97959,4775.1,1178.3,33400,12033.55,80389,7031,2421,5767.18,3179.99,37966,1609,761.55,990,450.86,1095,15818,20287.24,21891.83673,7161,5757,5525,21040,1561,4017.02,37733.63,42500.25
1100,9757,1738.84,10456,4942.15,6959,598.57,9918,69562.03061,4783,1185.1,33486,12046.83,78165,6801,2366,5700.06,3292.81,37167,1597,728.1,998,443.38,1073,15885,20150.95,22176.53061,7144,5723,5389,21026,1503,4070.26,37983.26,42754.25
1080,9718,1712.36,10264,5010.52,6807,609.52,9832,68553.32653,4740,1207.7,32622,12276.15,76100,6934,2305,5661.88,3290.71,36742,1603,720.65,1018,437.71,1062,15870,20308.29,21878.57143,7266,5720,5263,21148,1478,4022.4,37960.68,43181.63
1080,9885,1711.66,10356,5294.87,6806,622.82,9827,68198.26531,4732.2,1250.9,31811,12472.15,74947,6885,2279,5709.86,3242.03,37209,1658,687.06,1072,442.46,1075,15933,20570.58,21904.08163,7173,6011,5272,21876,1461,4004.97,37790.43,44373.75
1130,10409,1798.91,10564,5849.23,7131,641.73,9834,69316.40816,5061.1,1251.9,31522,12427.05,75759,7171,2430,5914.19,3254.89,39041,1690,742.92,1064,471.79,1154,16327,20928.17,22663.26531,7135,6720,5709,22399,1519,4084.09,37883.24,47080.13
1210,10583,1906.21,11376,6150.17,7697,737.79,9864,72488.52041,5495.6,1227.4,32181,12323.23,80720,7704,2622,5952.23,3529.37,42674,1660,796.64,1040,499.22,1205,17347,20816.61,22678.57143,7408,6963,5989,22604,1631,4095.94,38533.87,52693.13
1210,10247,1867.1,11493,6059.17,7793,763.75,9649,72220.58163,5298.1,1196.1,34087,12265.16,83561,7705,2611,5862.08,4035.74,42859,1613,781.21,1005,505.42,1199,16687,20459.15,22528.57143,7705,6938,5985,22234,1651,4067.26,38033.45,57007.75
1200,9562,1844,11119,5881.11,7554,753.93,9535,70315.91837,4948.9,1152.2,34713,12100.86,80840,7589,2607,5751.27,4023.47,42234,1562,798.2,959,502.06,1194,16125,20290.49,22273.46939,7805,6834,5956,21862,1653,4017.99,37262.47,56156.5
1170,8934,1802.35,10527,5600.77,7242,722.11,9197,66571.65306,4633,1106.7,34955,11684.21,76499,7350,2529,5561.89,3837.27,39501,1477,739.86,902,497.55,1162,15435,20002.17,21783.67347,7665,6563,5892,21224,1608,3902.83,36381.64,53777.5
1080,8464,1737.01,10090,5496.31,7037,704.22,8745,63488.85714,4337.7,1034,34572,11812.16,73265,6830,2492,5374.92,3632.46,36865,1346,710.93,824,488.32,1162,14592,19685.87,20409.18367,7337,6187,5785,20538,1510,3752.35,35601.63,50569.75
950,8348,1657.18,10346,5217.16,7100,668.73,8219,61506.43878,3947.7,959.8,32689,11624.36,76223,6382,2345,5137.82,3449.62,33098,1217,760.63,753,465.15,1292,13665,19093.43,18811.22449,6908,5790,5783,19639,1417,3586.97,34860.91,46293.75
790,7777,1533.46,10378,4880.03,6935,617.89,7833,57465.91837,3706.1,893.7,29723,11165.47,75040,5808,2087,4900.73,3216.12,29694,1119,717.08,682,453.54,1292,12824,18257.21,17371.42857,6201,5516,5723,18701,1307,3439.01,33276.48,41619.63
650,7424,1372.76,9820,4581.69,7264,545.64,7529,54188.73469,3426,862,27117,10811.71,70905,5305,1878,4579.26,3110.94,26714,1068,698.16,637,422.42,1182,12032,17609.13,16310.20408,5563,5301,5649,18139,1234,3326.48,30859.74,36865.38
560,7131,1259.37,9352,4460.21,7521,488.41,7592,52117.16327,3238,840.6,24766,10632.59,70035,5278,1840,4388.3,2874.78,24756,1041,687.92,632,384.11,1059,11470,17074.97,15690.81633,5144,5213,5307,17776,1170,3215.77,28943.01,35725.25
520,6972,1205.81,9008,4403.65,7436,452.11,7537,50744.12245,3170.2,833.3,23281,10579.27,68087,5107,1835,4188.21,2668.71,23614,1029,644.52,631,352.91,965,11167,16891.66,15493.87755,4899,5178,4915,17698,1162,3145.37,27825.29,34644.13
500,7017,1197.83,8771,4434.88,7385,431.78,7482,50867.91837,3180,841.4,22719,10649.32,66379,5000,1805,4091.6,2512.49,23066,1037,661.01,636,334.98,908,11035,16884.39,15438.77551,4787,5224,4654,17705,1158,3133.02,27332.35,33250.13
500,7223,1209.11,8736,4601.24,7225,429.31,7606,51917.03061,3339.3,876.8,22559,11056.48,66614,5037,1831,4186.78,2433.06,23176,1093,653.64,672,325.56,890,11116,16999.81,15747.95918,4722,5390,4524,17914,1210,3218.34,27254.78,32256.5
550,7964,1270.17,9103,4997.61,7439,443.91,8063,54508.35714,3588.1,965.3,23189,11893.96,70319,5408,1911,4511.54,2414.56,25026,1260,654.26,777,327.27,909,11521,17307.2,16460.20408,4814,5839,4563,18779,1334,3348.25,27518.98,31628.5
670,8776,1386.9,10008,5532.21,7331,482.28,9135,60019.86735,4211.3,1086,25512,12384.88,77734,6020,1989,5245.42,2470.03,28958,1460,646.63,902,345.92,982,12654,18675.36,19055.10204,5136,6504,4718,20403,1644,3633.58,28823.98,33052.25
850,9606,1549.63,10652,6075.26,7645,558.38,9644,65824.71429,4938.2,1202.7,29200,12719.93,82904,6639,2196,5542.8,2728.03,33787,1611,732.15,1013,367.94,1020,14335,20350.04,20891.83673,5815,7003,4974,22139,1821,3775.28,30963.11,39145.75
1030,10024,1706.59,11392,6360.74,8158,607.48,9715,69069.2551,5292.3,1232.8,32300,12643.65,83611,7289,2356,5589.66,3137.11,38401,1666,804.87,1054,412.89,1109,15723,20941.93,21821.42857,6555,7314,5294,22824,1896,3948.94,35531.83,46242
1140,10205,1809.88,11601,6317.76,8350,607.98,9873,70571.10204,5299.4,1252.3,34788,12606.94,84323,7447,2454,5623.36,3418.8,41302,1676,806.18,1068,453.82,1151,16328,20775.08,22225.5102,7077,7356,5608,22761,1901,4038.36,38885.6,50252.25
1170,10355,1853.78,11657,6196.99,8329,592.91,9848,72060.52041,5372.6,1255.7,36112,12586.77,84070,7450,2475,5603.39,3705.92,41911,1671,801,1064,478.81,1182,16513,20642.37,22354.08163,7266,7342,5798,22881,1927,4049.27,39688.47,52230.25
1180,10319,1859.07,11805,6028.54,8196,598.82,9831,73297.89796,5307,1237,36202,12617.8,84284,7460,2497,5626.99,3879.34,42412,1650,840.76,1034,489.29,1187,16626,20556.38,22628.57143,7401,7325,5849,22740,1928,4107.57,40377.55,52371.63
1190,10052,1853.07,11553,5922.69,8196,596.23,10039,73249.09184,5255.5,1249.8,35633,12551.14,83589,7389,2476,5653.1,3970.01,41289,1663,820.46,1049,488.56,1185,16696,20196.9,22678.57143,7248,7334,5858,22509,1938,4077.36,38429.15,52322.13
1200,9919,1891.97,11522,5841.33,8093,600.5,9986,72536.63265,5305.1,1249.5,35525,12621.84,81605,7123,2416,5608.32,4020.22,40121,1654,780.52,1051,486.23,1173,16684,20232.77,22919.38776,7146,7261,5827,22458,1907,4084.86,37979.44,52634.5
1210,9860,1876.86,11585,5884.2,7964,614.73,9883,71554.16327,5308.3,1256.8,34348,12726.59,79224,7233,2343,5608.06,3987.3,40000,1649,756.58,1059,491.12,1155,16705,20267.07,22529.59184,7279,7203,5732,22478,1839,4014.75,38286.31,52673
1200,9980,1850.66,11775,6038.04,7972,626.87,9925,71406.73469,5204.5,1306.7,33413,12921.32,78342,7199,2295,5684.37,3948.76,40094,1707,742.68,1113,493.76,1150,16663,20539.36,22500,7145,7397,5752,22827,1828,4004.18,38557.94,53123.63
1240,10567,1918.14,11799,6379.45,8179,646.93,9985,72467.61224,5404.4,1309.2,33141,12952.43,79187,7556,2436,5901.57,3986.61,41278,1750,788.09,1117,511.66,1227,17000,20690.57,23324.4898,7094,7952,6089,22771,1935,4117.87,38765.04,54453.13
1290,10848,2005.85,12462,6602.48,8659,747.75,10057,75197.5,5674.9,1280.3,33694,12926.03,84996,8197,2656,5978.92,4241.4,44714,1717,830.5,1096,524.78,1270,17688,20704.67,23290.81633,7324,7991,6236,22597,2012,4138.49,39108.52,57859
1270,10565,1962.95,12410,6526.21,8726,781.07,9795,74552.9898,5473.9,1246.5,35528,12931.93,88273,8204,2643,5909.39,4603.71,44854,1655,813.75,1051,527.9,1246,16837,20337.33,22964.28571,7699,7901,6204,22048,2041,4074.5,39053.26,59759.75
1260,9821,1928.87,11934,6250.75,8405,772.76,9662,72710.36735,5179.4,1216.8,35991,12733.35,85175,7998,2643,5826.88,4494.62,44017,1587,786.75,1009,523.75,1224,16252,20006.03,22763.26531,7818,7720,6206,21390,2004,4042.32,37881.53,58773.63
1230,9243,1885.08,11343,5993.33,7967,749.37,9400,68702.2551,4843.8,1177.3,36159,12161.56,80385,7549,2566,5600.83,4263.21,41003,1496,776.16,954,518.07,1180,15507,19782.88,21936.73469,7663,7306,6136,20645,1944,3951.02,36987.69,56783.88
1120,8613,1818.9,10798,5805.8,7619,732.3,8883,65393.60204,4525.9,1100.9,35633,12216.24,76907,6940,2549,5371.77,4039.11,37909,1355,709.54,867,502.09,1160,14649,19387.96,20516.32653,7354,6763,6020,19855,1797,3758.59,36114.28,52813.25
970,8532,1730.02,10983,5455.84,7519,688.4,8338,62993.18367,4150.2,1012.7,33492,12006.56,79390,6462,2396,5140.66,3772,34094,1233,751.42,782,486.47,1295,13690,18626.61,18928.57143,6967,6248,6037,18882,1675,3594.37,35411.22,47494.88
800,7944,1578.3,10872,5011.2,7324,635.01,7894,59059,3845.2,945.4,30433,11523.36,78360,5852,2120,4922.39,3473.96,30618,1159,708.84,708,473.97,1306,12828,17892.7,17619.38776,6228,5971,5937,18023,1559,3433.91,33891.2,41815.13
640,7643,1413.9,10274,4753.84,7222,560.82,7617,55925.11224,3687.3,908.9,27702,11171.57,74062,5300,1955,4613.91,3334.38,27422,1123,694.86,671,439.57,1199,12043,17318.24,16530.61224,5554,5758,5793,17357,1474,3330.09,31313.51,36704.5
560,7373,1301.68,9833,4598.1,7174,493.6,7685,53684.11224,3478.4,889.8,25348,11009.21,73890,5243,1910,4420.92,3064.31,25461,1099,655.13,652,392.88,1074,11527,16838.2,15900,5128,5677,5395,17021,1403,3230.46,29402.67,35555.38
520,7207,1249.95,9391,4535.73,7289,447.87,7610,52443.64286,3516.6,887.9,23946,10989.36,71683,5078,1862,4240.59,2830.33,24458,1094,662.38,644,359.62,971,11196,16550.7,15556.12245,4932,5611,5029,16880,1373,3175.27,28387.84,34925.38
500,7110,1232.32,9174,4564.3,7364,428.49,7518,52661.47959,3528.1,897.2,23349,11138.21,69575,4938,1836,4138.85,2668.6,23753,1100,637.61,655,339.45,902,11058,16638.77,15650,4785,5680,4759,16958,1365,3160.18,27778.13,33918.88
510,7430,1241.45,9095,4706.87,7212,431.11,7615,53692.67347,3484.4,925.1,23194,11574.23,69675,5004,1866,4238.2,2576.74,24044,1146,579.31,716,330.58,879,11094,16765.74,16032.65306,4754,5859,4659,17211,1418,3238.39,27705.95,33291.88
560,8157,1321.27,9475,5095.48,7137,449.39,8086,56178.08163,3682.9,1031.1,23664,12449.22,73305,5343,1980,4583.04,2548.36,25790,1321,625.74,825,333.28,902,11508,17479.66,16691.83673,4820,6292,4749,18049,1553,3385.31,27879.47,32741.63
700,8950,1492.85,10274,5599.33,7285,491.48,9199,61957.68367,4294.9,1163.4,25870,12866.58,80212,5950,2051,5330.82,2589.35,29816,1504,612.38,958,357.45,964,12649,18980.19,19016.32653,5196,6945,5109,19635,1811,3658.01,29200.81,34411.63
900,9831,1699.57,10865,6097.48,7858,575.15,9714,67740.26531,5014.8,1290.1,29496,13202.28,85291,6637,2258,5656.41,2837,34881,1631,691.63,1070,390.94,970,14283,20652.97,21020.40816,5849,7418,5440,21110,1978,3836.1,31982.48,40686.5
1100,10201,1864.57,11605,6343.81,8349,647.1,9730,70915.40816,5292.2,1323.6,32365,13213.65,85946,7263,2431,5742.6,3245.45,39298,1668,745.05,1113,439.28,1054,15740,21111.09,21760.20408,6574,7603,5793,21870,2049,3976.57,36340.58,48731.75
1190,10415,1933.52,11872,6296.71,8550,662.43,9936,72144.5102,5254.7,1344.5,34619,13137.68,86270,7499,2515,5840.31,3514.44,42127,1704,737.16,1131,473.74,1148,16376,20930.43,22181.63265,7063,7542,5988,22021,2059,4098.38,39540.8,52361.5
1220,10546,1931.47,12031,6216.43,8568,644.06,9940,73482.06122,5228.9,1346.4,35607,13207.82,86134,7567,2520,5875.22,3742.83,42362,1705,753.76,1116,487.09,1163,16558,20942.39,22196.93878,7167,7499,6031,22401,2069,4105.35,40559.24,54060.88
1230,10487,1898.29,12187,6090.05,8492,661.58,9901,74765.56122,5182.6,1335.7,35420,13277.58,86321,7573,2528,5961.38,3886.02,42308,1684,751.29,1080,490.48,1163,16527,21017.27,22372.44898,7289,7419,5925,22743,2077,4167.46,40794.6,54019.38
1240,10284,1873.72,11999,5977.39,8552,657.59,10020,74743.2449,5082.5,1356.9,34704,13328.5,85692,7433,2494,6008.7,3976.69,40808,1698,752.29,1092,484.68,1157,16425,20991.04,22560.20408,7117,7415,5887,22832,2039,4091.36,39041.63,54018
1250,10252,1913.13,11820,5865.76,8516,650.86,9978,73841.14286,5134.7,1348.7,34632,13387.29,83603,7107,2415,5927.5,4040.09,39733,1690,628.85,1095,479.44,1144,16381,21110.34,22697.95918,6977,7342,5819,22888,1996,4110.08,39296.6,53904.63
1230,10183,1899.35,11639,5882.11,8380,643.4,9866,72713.43878,5069.1,1359.6,33591,13546.85,80945,7216,2345,5902.66,3999.58,39373,1689,637.79,1100,476.76,1127,16366,21230.05,22359.18367,7128,7326,5784,23142,1983,4067.62,38952.29,53704.5
1210,10225,1882.16,11601,5999.21,8323,644.44,9869,72068.90816,4977.7,1405.1,32725,13883.97,79728,7238,2339,5982.56,3956.98,39602,1753,588.02,1160,478.94,1134,16400,21339.29,22269.38776,6975,7497,5786,23661,1935,4016.52,38697.87,54072.88
1240,10673,1968.75,11621,6366.43,8447,661.03,9931,72696.4898,5259.2,1410.7,32515,14009.67,79852,7469,2497,6110.76,3978.68,40978,1780,633.88,1158,498.6,1201,16717,21682.99,23328.57143,6903,8070,6184,23983,2011,4104.31,39033.18,55582.25
1310,10677,2056.19,12249,6619.58,8757,760.27,10028,75200.89796,5670.2,1386,32958,14000.72,84728,7969,2712,6109.76,4232.84,44498,1742,708.94,1137,521.06,1252,17659,21814.01,23367.34694,7152,8163,6435,24097,2083,4133.48,39611.36,59499.5
1300,10322,2009.5,12398,6556.75,8773,806.98,9755,74607.26531,5449.4,1356.5,34757,14026.51,87584,7957,2699,6014.06,4622.37,44660,1693,741.57,1105,524.46,1235,16947,21503.11,23033.67347,7608,8041,6448,23743,2048,4103.89,39423.21,61551.5
1290,9613,1981.26,11939,6290.67,8427,797.42,9625,72629.9898,5116.4,1311.4,35291,13826.82,84146,7797,2690,5914.35,4537.83,43881,1639,704.56,1072,521.02,1222,16367,21395.09,22870.40816,7724,7900,6383,23319,2036,4037.53,38131.48,61351.88
1260,9083,1918.79,11285,6027.12,7917,763.65,9385,68673.7449,4779.5,1269.9,35284,13273.09,79385,7431,2605,5689.9,4310.59,41205,1548,689.17,1025,512.1,1184,15607,21137.84,22273.46939,7565,7493,6242,22817,1959,3960.05,37145.28,59888.63
1160,8523,1851.29,10856,5852.61,7534,731.92,8903,65667.61224,4450.6,1197,35201,13375.2,75943,6845,2594,5470.46,4082.53,38042,1404,646.82,932,504.35,1155,14712,20693.95,20785.71429,7244,6915,6162,22104,1798,3782.56,36289.91,56296.5
1010,8420,1772.47,11106,5469.66,7378,683.62,8345,63302.2551,4072.8,1116.8,33462,13166.33,78254,6387,2439,5230.38,3820.92,34041,1282,679.67,843,487.95,1303,13740,20202.85,19195.91837,6871,6406,6130,21382,1692,3613.64,35540,51190.88
